,,,,,,,,
year,state,domestic_tourists ,foreign_tourists ,,,,,
2020,Karnataka," 7,74,53,339 "," 1,65,325 ",,,,,
2021,Karnataka," 8,13,33,659 "," 72,487 ",,,,,
2022,Karnataka," 18,24,13,000 "," 1,29,000 ",,,,,
2023,Karnataka," 28,41,21,000 "," 4,09,000 ",,,,,
2016,Kerala," 1,31,72,536 "," 10,38,419 ",,,,,
2017,Kerala," 1,46,73,520 "," 10,91,870 ",,,,,
2018,Kerala," 1,56,04,661 "," 10,96,407 ",,,,,
2019,Kerala," 1,83,84,233 "," 11,89,771 ",,,,,
2020,Kerala," 49,88,972 "," 3,40,755 ",,,,,
2021,Kerala," 75,37,617 "," 60,487 ",,,,,
2022,Kerala," 1,88,67,000 "," 3,46,000 ",,,,,
2023,Kerala," 2,18,72,000 "," 6,49,000 ",,,,,
2016,Lakshadweep," 8,716 ", 753 ,,,,,
2017,Lakshadweep," 6,620 "," 1,027 ",,,,,
2018,Lakshadweep," 10,435 "," 1,313 ",,,,,
2019,Lakshadweep," 6,985 ", 820 ,,,,,
2020,Lakshadweep," 3,462 ", 413 ,,,,,
2021,Lakshadweep," 13,500 ", 4 ,,,,,
2022,Lakshadweep," 23,000 ", -   ,,,,,
2023,Lakshadweep," 46,000 "," 1,000 ",,,,,
2016,Ladakh ,,,,,,,
2017,Ladakh ,,,,,,,
2018,Ladakh ,,,,,,,
2019,Ladakh ," 2,41,285 "," 38,652 ",,,,,
2020,Ladakh ," 6,743 "," 1,126 ",,,,,
2021,Ladakh ," 3,03,023 "," 1,054 ",,,,,
2022,Ladakh ," 5,10,000 "," 21,000 ",,,,,
2023,Ladakh ," 7,59,000 "," 41,000 ",,,,,
2016,Madhya Pradesh," 15,04,90,339 "," 3,63,195 ",,,,,
2017,Madhya Pradesh," 7,80,38,522 "," 3,59,119 ",,,,,
2018,Madhya Pradesh," 8,39,69,799 "," 3,75,476 ",,,,,
2019,Madhya Pradesh," 8,87,07,139 "," 3,27,958 ",,,,,
2020,Madhya Pradesh," 2,35,19,632 "," 99,819 ",,,,,
2021,Madhya Pradesh," 2,55,54,067 "," 41,601 ",,,,,
2022,Madhya Pradesh," 3,58,49,000 "," 2,04,000 ",,,,,
2023,Madhya Pradesh," 11,19,46,000 "," 1,83,000 ",,,,,
2016,Maharashtra*," 11,65,15,800 "," 46,70,048 ",,,,,
2017,Maharashtra*," 11,91,91,539 "," 50,78,514 ",,,,,
2018,Maharashtra#," 11,91,91,539 "," 50,78,514 ",,,,,
2019,Maharashtra*," 14,92,94,703 "," 55,28,704 ",,,,,
2020,Maharashtra*," 3,92,34,591 "," 12,62,409 ",,,,,
2021,Maharashtra*," 4,35,69,238 "," 1,85,643 ",,,,,
2022,Maharashtra*," 11,12,98,000 "," 15,12,000 ",,,,,
2023,Maharashtra*," 16,13,60,000 "," 33,88,000 ",,,,,
2016,Manipur," 1,50,638 "," 3,064 ",,,,,
2017,Manipur," 1,53,454 "," 3,497 ",,,,,
2018,Manipur," 1,76,109 "," 6,391 ",,,,,
2019,Manipur," 1,67,560 "," 13,608 ",,,,,
2020,Manipur," 49,669 "," 3,139 ",,,,,
2021,Manipur," 49,371 ", 648 ,,,,,
2022,Manipur," 1,40,000 "," 4,000 ",,,,,
2023,Manipur," 58,000 "," 4,000 ",,,,,
2016,Meghalaya," 8,30,887 "," 8,476 ",,,,,
2017,Meghalaya," 9,90,856 "," 12,051 ",,,,,
2018,Meghalaya," 11,98,340 "," 18,114 ",,,,,
2019,Meghalaya," 12,45,633 "," 25,813 ",,,,,
2020,Meghalaya," 24,734 "," 2,311 ",,,,,
2021,Meghalaya," 1,54,409 ", 411 ,,,,,
2022,Meghalaya," 9,37,000 "," 8,000 ",,,,,
2023,Meghalaya," 13,72,000 "," 20,000 ",,,,,
2016,Mizoram," 67,238 ", 942 ,,,,,
2017,Mizoram," 67,772 "," 1,155 ",,,,,
2018,Mizoram," 76,551 ", 967 ,,,,,
2019,Mizoram," 1,63,762 "," 2,249 ",,,,,
2020,Mizoram," 30,890 ", 265 ,,,,,
2021,Mizoram," 87,232 ", 234 ,,,,,
2022,Mizoram," 2,18,000 "," 3,000 ",,,,,
2023,Mizoram," 2,09,000 "," 4,000 ",,,,,
2016,Nagaland," 58,178 "," 3,260 ",,,,,
2017,Nagaland," 63,362 "," 4,166 ",,,,,
2018,Nagaland," 1,01,588 "," 5,010 ",,,,,
2019,Nagaland," 1,25,949 "," 5,577 ",,,,,
2020,Nagaland," 10,979 ", 518 ,,,,,
2021,Nagaland," 23,968 ", 325 ,,,,,
2022,Nagaland," 97,000 "," 3,000 ",,,,,
2023,Nagaland," 1,00,000 "," 5,000 ",,,,,
2016,Odisha," 1,28,42,766 "," 76,361 ",,,,,
2017,Odisha," 1,40,11,229 "," 1,00,014 ",,,,,
2018,Odisha," 1,52,08,540 "," 1,10,818 ",,,,,
2019,Odisha," 1,53,07,637 "," 1,15,128 ",,,,,
2020,Odisha," 46,22,273 "," 10,206 ",,,,,
2021,Odisha," 37,42,221 "," 2,269 ",,,,,
2022,Odisha," 78,68,000 "," 22,000 ",,,,,
2023,Odisha," 97,25,000 "," 45,000 ",,,,,
2016,Puducherry," 13,98,289 "," 1,17,437 ",,,,,
2017,Puducherry," 15,31,972 "," 1,31,407 ",,,,,
2018,Puducherry," 16,16,660 "," 1,41,133 ",,,,,
2019,Puducherry," 17,13,248 "," 1,49,919 ",,,,,
2020,Puducherry," 11,14,942 "," 92,080 ",,,,,
2021,Puducherry," 12,53,213 ", 321 ,,,,,
2022,Puducherry," 17,60,000 "," 1,000 ",,,,,
2023,Puducherry," 20,92,000 "," 31,000 ",,,,,
2016,Punjab," 3,87,03,326 "," 6,59,736 ",,,,,
2017,Punjab," 4,02,93,352 "," 11,08,635 ",,,,,
2018,Punjab," 4,45,95,061 "," 12,00,969 ",,,,,
2019,Punjab," 4,73,85,387 "," 11,01,343 ",,,,,
2020,Punjab," 1,66,92,197 "," 3,59,114 ",,,,,
2021,Punjab," 2,66,40,429 "," 3,08,135 ",,,,,
2022,Punjab," 2,60,89,000 "," 3,29,000 ",,,,,
2023,Punjab," 3,57,08,000 "," 7,42,000 ",,,,,
2016,Rajasthan," 4,14,95,115 "," 15,13,729 ",,,,,
2017,Rajasthan," 4,59,16,573 "," 16,09,963 ",,,,,
2018,Rajasthan," 5,02,35,643 "," 17,54,348 ",,,,,
2019,Rajasthan," 5,22,20,431 "," 16,05,560 ",,,,,
2020,Rajasthan," 1,51,17,239 "," 4,46,457 ",,,,,
2021,Rajasthan," 2,19,88,734 "," 34,806 ",,,,,
2022,Rajasthan," 10,83,28,000 "," 3,97,000 ",,,,,
2023,Rajasthan," 17,90,52,000 "," 17,00,000 ",,,,,
2016,Sikkim," 7,47,343 "," 66,012 ",,,,,
2017,Sikkim," 13,75,854 "," 49,111 ",,,,,
2018,Sikkim," 14,26,127 "," 71,172 ",,,,,
2019,Sikkim," 14,21,823 "," 1,33,388 ",,,,,
2020,Sikkim," 3,16,408 "," 19,935 ",,,,,
2021,Sikkim," 5,11,669 "," 11,508 ",,,,,
2022,Sikkim," 16,26,000 "," 69,000 ",,,,,
2023,Sikkim," 13,21,000 "," 94,000 ",,,,,
2016,Tamil Nadu," 34,38,12,413 "," 47,21,978 ",,,,,
2017,Tamil Nadu," 34,50,61,140 "," 48,60,455 ",,,,,
2018,Tamil Nadu," 38,59,09,376 "," 60,74,345 ",,,,,
2019,Tamil Nadu," 49,48,65,257 "," 68,66,327 ",,,,,
2020,Tamil Nadu," 14,06,51,241 "," 12,28,323 ",,,,,
